,Logistic Regression_0,Logistic Regression_1,Logistic Regression_2,Logistic Regression_3,Logistic Regression_4,Support Vector Classifier_0,Support Vector Classifier_1,Support Vector Classifier_2,Support Vector Classifier_3,Support Vector Classifier_4,Random Forest Classifier_0,Random Forest Classifier_1,Random Forest Classifier_2,Random Forest Classifier_3,Random Forest Classifier_4,Deep Learning_0,Deep Learning_1,Deep Learning_2,Deep Learning_3,Deep Learning_4,Ensemble Model_0,Ensemble Model_1,Ensemble Model_2,Ensemble Model_3,Ensemble Model_4
Accuracy,0.759,0.768,0.766,0.769,0.758,0.753,0.762,0.759,0.764,0.751,0.76,0.763,0.761,0.773,0.756,0.808,0.825,0.818,0.813,0.818,0.802,0.823,0.812,0.813,0.811
Precision,0.891,0.916,0.897,0.898,0.905,0.894,0.916,0.901,0.903,0.908,0.87,0.89,0.883,0.886,0.891,0.828,0.845,0.828,0.825,0.84,0.846,0.867,0.856,0.854,0.868
F1 Score,0.811,0.82,0.817,0.815,0.81,0.805,0.814,0.809,0.81,0.801,0.816,0.82,0.815,0.822,0.811,0.869,0.883,0.877,0.871,0.876,0.86,0.877,0.867,0.865,0.865
Recall,0.744,0.742,0.749,0.747,0.732,0.732,0.733,0.735,0.735,0.717,0.769,0.761,0.757,0.767,0.744,0.913,0.923,0.931,0.923,0.914,0.874,0.887,0.878,0.875,0.862
AUC,0.837,0.851,0.843,0.85,0.849,0.837,0.851,0.843,0.85,0.849,0.828,0.836,0.838,0.833,0.833,0.845,0.859,0.853,0.862,0.864,0.851,0.857,0.854,0.855,0.859
